ProcessName,SubjectUserName,@timestamp,host,Hostname,EventID,SubjectLogonId,ProcessId,LogonType,TargetLogonId,WorkstationName,IpAddress,TargetUserName,PrivilegeList,CommandLine,ParentProcessName,NewProcessId,is_remote_logon,was_elevated
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:18:29.122000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2d0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:18:34.323000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2d0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:18:56.533000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61c4fe,-,::1,NEWYORK$,,,,,True,True
-,-,2020-05-02 03:19:13.643000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61cd4a,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:13.644000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61cd79,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:13.647000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61cd98,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:13.647000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61cdad,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:13.647000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61cdc2,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:13.648000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61cde0,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:14.660000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61ce00,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:14.661000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61ce24,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:14.671000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61cea0,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:15.703000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61d0bd,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:15.704000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61d0da,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:15.706000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61d0f6,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:16.705000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61d14a,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:24.921000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61d439,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:24.924000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61d454,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:19:24.924000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x61d468,-,10.0.1.4,SCRANTON$,,,,,True,False
,-,2020-05-02 03:19:27.116000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x0,0x4,0.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:19:27.176000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\wininit.exe,SCRANTON$,2020-05-02 03:19:27.219000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x25c,2.0,0x828e,-,-,UMFD-0,,,,,False,False
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:19:27.221000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2b0,2.0,0x834a,-,-,UMFD-1,,,,,False,False
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:19:28.216000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:19:28.224000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e4,-,-,NETWORK SERVICE,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:19:28.236000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:19:28.255000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2b0,2.0,0xdd9b,-,-,DWM-1,,,,,False,True
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:19:28.256000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2b0,2.0,0xddb8,-,-,DWM-1,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:19:28.278000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e5,-,-,LOCAL SERVICE,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:19:28.283000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 02:55:56.721000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x58f45b,-,::1,NEWYORK$,,,,,True,True
-,-,2020-05-02 02:56:48.674000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x590f95,-,fe80::e40c:95b6:b0a7:6429,NEWYORK$,,,,,True,True
-,-,2020-05-02 02:56:48.674000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x5910b7,-,::1,NEWYORK$,,,,,True,True
-,-,2020-05-02 02:56:48.675000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x591102,-,10.0.0.4,NEWYORK$,,,,,True,True
-,-,2020-05-02 02:56:48.680000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x59117a,-,fe80::e40c:95b6:b0a7:6429,NEWYORK$,,,,,True,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:47.252000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:20:47.252000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x0,0x0,3.0,0x11a4e7,10.0.1.4,172.18.39.2,pbeesly,,,,,True,True
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:20:47.620000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x14dc,2.0,0x12106a,-,-,UMFD-2,,,,,False,False
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:20:47.894000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x14dc,2.0,0x121a19,-,-,DWM-2,,,,,False,True
C:\Windows\System32\winlogon.exe,SCRANTON$,2020-05-02 03:20:47.895000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x14dc,2.0,0x121a62,-,-,DWM-2,,,,,False,True
-,-,2020-05-02 03:20:47.898000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x62082a,-,10.0.1.4,pbeesly,,,,,True,False
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:47.898000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
C:\Windows\System32\services.exe,SCRANTON$,2020-05-02 03:20:48.152000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x2e0,5.0,0x3e7,-,-,SYSTEM,,,,,False,True
-,-,2020-05-02 03:20:48.425000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x620882,-,10.0.1.4,SCRANTON$,,,,,True,False
-,-,2020-05-02 03:20:48.426000+00:00,wec.internal.cloudapp.net,NEWYORK.dmevals.local,4624,0x0,0x0,3.0,0x620896,-,10.0.1.4,pbeesly,,,,,True,False
C:\Windows\System32\svchost.exe,SCRANTON$,2020-05-02 03:20:49.428000+00:00,wec.internal.cloudapp.net,SCRANTON.dmevals.local,4624,0x3e7,0x594,10.0,0x1305dc,SCRANTON,172.18.39.2,pbeesly,,,,,True,True
